"study","variable","dataset","concept","lid_item_id","is_key","lid_ref_varname","lid_ref_recname","lid_ref_year","description","description_long","boost"
"soep-long","PLE0109","PL","peigen",4146,"","SP109","SP",2002,"This variable is only available for the year 2002.","#### 2002
* Var with original data within SOEPlong: P4146
* SOEPcore: SP109
",0.03
"soep-long","PLJ0024","PL","psta3",4147,"","BCP141","BCP",2012,"The variable is available for 11 years, ranging from 2002 to 2012.","#### 2002
* Var with original data within SOEPlong: P4147
* SOEPcore: SP116

#### 2003
* Var with original data within SOEPlong: P4147
* SOEPcore: TP124

#### 2004
* Var with original data within SOEPlong: P4147
* SOEPcore: UP128

#### 2005
* Var with original data within SOEPlong: P4147
* SOEPcore: VP137

#### 2006
* Var with original data within SOEPlong: P4147
* SOEPcore: WP129

#### 2007
* Var with original data within SOEPlong: P4147
* SOEPcore: XP141

#### 2008
* Var with original data within SOEPlong: P4147
* SOEPcore: YP139

#### 2009
* Var with original data within SOEPlong: P4147
* SOEPcore: ZP139

#### 2010
* Var with original data within SOEPlong: P4147
* SOEPcore: BAP137

#### 2011
* Var with original data within SOEPlong: P4147
* SOEPcore: BBP14201

#### 2012
* Var with original data within SOEPlong: P4147
* SOEPcore: BCP141
",0.38
"soep-long","PLJ0018","PL","psta3nr",4148,"","SP11702","SP",2002,"This variable is only available for the year 2002.","#### 2002
* Var with original data within SOEPlong: P4148
* SOEPcore: SP11702
",0.03
"soep-long","PLJ0019","PL","psta4",4149,"","SP118","SP",2002,"This variable is only available for the year 2002.","#### 2002
* Var with original data within SOEPlong: P4149
* SOEPcore: SP118
",0.03
"soep-long","PLE0003","PL","ppgebmo",4150,"","BCP12802","BCP",2012,"The variable is available for 2 years, ranging from 2002 to 2012.","#### 2002
* Var with original data within SOEPlong: P4150
* SOEPcore: SP13003

#### 2012
* Var with original data within SOEPlong: P4150
* SOEPcore: BCP12802
",0.07
"soep-long","PLE0080","PL","prauch1a",4284,"","BCP95","BCP",2012,"The variable is available for 5 years, ranging from 1998 to 2012. To harmonize this variable over time 3 replace or recode commands were necessary.","#### 1998
* Var with original data within SOEPlong: PC0157
 * Recode:   REC (1 2 3 = 1) (4=2) 
* SOEPcore: 

#### 1999
* Var with original data within SOEPlong: PC0266
 * Recode:   REC (1=1) (2=3)(3=4) 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: PC0266
 * Recode:   REC (1=1) (2=3)(3=4) 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: P4284
* SOEPcore: SP92

#### 2012
* Var with original data within SOEPlong: P4284
* SOEPcore: BCP95
",0.17
"soep-long","PLE0082","PL","_prauch2_",4285,"","SP9301","SP",2002,"This variable is only available for the year 2002.","#### 2002
* Var with original data within SOEPlong: P4285
* SOEPcore: SP9301
",0.03
"soep-long","PLE0083","PL","prauch3a",4286,"","BCP9602","BCP",2012,"The variable is available for 2 years, ranging from 2002 to 2012.","#### 2002
* Var with original data within SOEPlong: P4286
* SOEPcore: SP9302

#### 2012
* Var with original data within SOEPlong: P4286
* SOEPcore: BCP9602
",0.07
"soep-long","PLE0081","PL","prauch1",4287,"","BCP9701","BCP",2012,"The variable is available for 8 years, ranging from 1999 to 2012. To harmonize this variable over time 2 replace or recode commands were necessary.","#### 1999
* Var with original data within SOEPlong: PC0266
 * Recode:   REC (1 = 1) (2 3=2) 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: PC0266
 * Recode:   REC (1 = 1) (2 3=2) 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: P4287
* SOEPcore: SP9401

#### 2004
* Var with original data within SOEPlong: P4287
* SOEPcore: UP8901

#### 2006
* Var with original data within SOEPlong: P4287
* SOEPcore: WP9301

#### 2008
* Var with original data within SOEPlong: P4287
* SOEPcore: YP10601

#### 2010
* Var with original data within SOEPlong: P4287
* SOEPcore: BAP9501

#### 2012
* Var with original data within SOEPlong: P4287
* SOEPcore: BCP9701
",0.28
"soep-long","PLE0084","PL","prauch8",4288,"","BCP9705","BCP",2012,"The variable is available for 2 years, ranging from 2002 to 2012.","#### 2002
* Var with original data within SOEPlong: P4288
* SOEPcore: SP9405

#### 2012
* Var with original data within SOEPlong: P4288
* SOEPcore: BCP9705
",0.07
"soep-long","PLE0085","PL","prauch9",4289,"","BCP9706","BCP",2012,"The variable is available for 2 years, ranging from 2002 to 2012.","#### 2002
* Var with original data within SOEPlong: P4289
* SOEPcore: SP9406

#### 2012
* Var with original data within SOEPlong: P4289
* SOEPcore: BCP9706
",0.07
"soep-long","PLE0086","PL","prauch2",4290,"","BCP9702","BCP",2012,"The variable is available for 6 years, ranging from 2002 to 2012.","#### 2002
* Var with original data within SOEPlong: P4290
* SOEPcore: SP9402

#### 2004
* Var with original data within SOEPlong: P4290
* SOEPcore: UP8902

#### 2006
* Var with original data within SOEPlong: P4290
* SOEPcore: WP9302

#### 2008
* Var with original data within SOEPlong: P4290
* SOEPcore: YP10602

#### 2010
* Var with original data within SOEPlong: P4290
* SOEPcore: BAP9502

#### 2012
* Var with original data within SOEPlong: P4290
* SOEPcore: BCP9702
",0.21
"soep-long","PLE0087","PL","prauch3",4291,"","BCP9703","BCP",2012,"The variable is available for 6 years, ranging from 2002 to 2012.","#### 2002
* Var with original data within SOEPlong: P4291
* SOEPcore: SP9403

#### 2004
* Var with original data within SOEPlong: P4291
* SOEPcore: UP8903

#### 2006
* Var with original data within SOEPlong: P4291
* SOEPcore: WP9303

#### 2008
* Var with original data within SOEPlong: P4291
* SOEPcore: YP10603

#### 2010
* Var with original data within SOEPlong: P4291
* SOEPcore: BAP9503

#### 2012
* Var with original data within SOEPlong: P4291
* SOEPcore: BCP9703
",0.21
"soep-long","PLE0088","PL","prauch4",4292,"","BCP9704","BCP",2012,"The variable is available for 6 years, ranging from 2002 to 2012.","#### 2002
* Var with original data within SOEPlong: P4292
* SOEPcore: SP9404

#### 2004
* Var with original data within SOEPlong: P4292
* SOEPcore: UP8904

#### 2006
* Var with original data within SOEPlong: P4292
* SOEPcore: WP9304

#### 2008
* Var with original data within SOEPlong: P4292
* SOEPcore: YP10604

#### 2010
* Var with original data within SOEPlong: P4292
* SOEPcore: BAP9504

#### 2012
* Var with original data within SOEPlong: P4292
* SOEPcore: BCP9704
",0.21
"soep-long","PLA0011","PL","pgesch1",4323,"","TP13701","TP",2003,"This variable is only available for the year 2003.","#### 2003
* Var with original data within SOEPlong: P4323
* SOEPcore: TP13701
",0.03
"soep-long","PLD0160","PL","pfs081",4324,"","BCP15028","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4324
* SOEPcore: TP14122

#### 2004
* Var with original data within SOEPlong: P4324
* SOEPcore: UP14422

#### 2005
* Var with original data within SOEPlong: P4324
* SOEPcore: VP15322

#### 2006
* Var with original data within SOEPlong: P4324
* SOEPcore: WP14122

#### 2007
* Var with original data within SOEPlong: P4324
* SOEPcore: XP14825

#### 2008
* Var with original data within SOEPlong: P4324
* SOEPcore: YP15425

#### 2009
* Var with original data within SOEPlong: P4324
* SOEPcore: ZP15625

#### 2010
* Var with original data within SOEPlong: P4324
* SOEPcore: BAP15925

#### 2011
* Var with original data within SOEPlong: P4324
* SOEPcore: BBP15128

#### 2012
* Var with original data within SOEPlong: P4324
* SOEPcore: BCP15028
",0.34
"soep-long","PLD0162","PL","pfs082",4325,"","BCP15030","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4325
* SOEPcore: TP14123

#### 2004
* Var with original data within SOEPlong: P4325
* SOEPcore: UP14423

#### 2005
* Var with original data within SOEPlong: P4325
* SOEPcore: VP15323

#### 2006
* Var with original data within SOEPlong: P4325
* SOEPcore: WP14123

#### 2007
* Var with original data within SOEPlong: P4325
* SOEPcore: XP14826

#### 2008
* Var with original data within SOEPlong: P4325
* SOEPcore: YP15426

#### 2009
* Var with original data within SOEPlong: P4325
* SOEPcore: ZP15626

#### 2010
* Var with original data within SOEPlong: P4325
* SOEPcore: BAP15927

#### 2011
* Var with original data within SOEPlong: P4325
* SOEPcore: BBP15130

#### 2012
* Var with original data within SOEPlong: P4325
* SOEPcore: BCP15030
",0.34
"soep-long","PLD0161","PL","pfs083",4326,"","BCP15029","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4326
* SOEPcore: TP14124

#### 2004
* Var with original data within SOEPlong: P4326
* SOEPcore: UP14424

#### 2005
* Var with original data within SOEPlong: P4326
* SOEPcore: VP15324

#### 2006
* Var with original data within SOEPlong: P4326
* SOEPcore: WP14124

#### 2007
* Var with original data within SOEPlong: P4326
* SOEPcore: XP14827

#### 2008
* Var with original data within SOEPlong: P4326
* SOEPcore: YP15427

#### 2009
* Var with original data within SOEPlong: P4326
* SOEPcore: ZP15627

#### 2010
* Var with original data within SOEPlong: P4326
* SOEPcore: BAP15926

#### 2011
* Var with original data within SOEPlong: P4326
* SOEPcore: BBP15129

#### 2012
* Var with original data within SOEPlong: P4326
* SOEPcore: BCP15029
",0.34
"soep-long","PLD0163","PL","pfs091",4327,"","BCP15031","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4327
* SOEPcore: TP14125

#### 2004
* Var with original data within SOEPlong: P4327
* SOEPcore: UP14425

#### 2005
* Var with original data within SOEPlong: P4327
* SOEPcore: VP15325

#### 2006
* Var with original data within SOEPlong: P4327
* SOEPcore: WP14125

#### 2007
* Var with original data within SOEPlong: P4327
* SOEPcore: XP14828

#### 2008
* Var with original data within SOEPlong: P4327
* SOEPcore: YP15428

#### 2009
* Var with original data within SOEPlong: P4327
* SOEPcore: ZP15628

#### 2010
* Var with original data within SOEPlong: P4327
* SOEPcore: BAP15928

#### 2011
* Var with original data within SOEPlong: P4327
* SOEPcore: BBP15131

#### 2012
* Var with original data within SOEPlong: P4327
* SOEPcore: BCP15031
",0.34
"soep-long","PLD0165","PL","pfs092",4328,"","BCP15033","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4328
* SOEPcore: TP14126

#### 2004
* Var with original data within SOEPlong: P4328
* SOEPcore: UP14426

#### 2005
* Var with original data within SOEPlong: P4328
* SOEPcore: VP15326

#### 2006
* Var with original data within SOEPlong: P4328
* SOEPcore: WP14126

#### 2007
* Var with original data within SOEPlong: P4328
* SOEPcore: XP14829

#### 2008
* Var with original data within SOEPlong: P4328
* SOEPcore: YP15429

#### 2009
* Var with original data within SOEPlong: P4328
* SOEPcore: ZP15629

#### 2010
* Var with original data within SOEPlong: P4328
* SOEPcore: BAP15930

#### 2011
* Var with original data within SOEPlong: P4328
* SOEPcore: BBP15133

#### 2012
* Var with original data within SOEPlong: P4328
* SOEPcore: BCP15033
",0.34
"soep-long","PLD0164","PL","pfs093",4329,"","BCP15032","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4329
* SOEPcore: TP14127

#### 2004
* Var with original data within SOEPlong: P4329
* SOEPcore: UP14427

#### 2005
* Var with original data within SOEPlong: P4329
* SOEPcore: VP15327

#### 2006
* Var with original data within SOEPlong: P4329
* SOEPcore: WP14127

#### 2007
* Var with original data within SOEPlong: P4329
* SOEPcore: XP14830

#### 2008
* Var with original data within SOEPlong: P4329
* SOEPcore: YP15430

#### 2009
* Var with original data within SOEPlong: P4329
* SOEPcore: ZP15630

#### 2010
* Var with original data within SOEPlong: P4329
* SOEPcore: BAP15929

#### 2011
* Var with original data within SOEPlong: P4329
* SOEPcore: BBP15132

#### 2012
* Var with original data within SOEPlong: P4329
* SOEPcore: BCP15032
",0.34
"soep-long","PLB0079","PL","peinka",4330,"","BCP3104","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4330
* SOEPcore: TP5904

#### 2004
* Var with original data within SOEPlong: P4330
* SOEPcore: UP3004

#### 2005
* Var with original data within SOEPlong: P4330
* SOEPcore: VP3504

#### 2006
* Var with original data within SOEPlong: P4330
* SOEPcore: WP2804

#### 2007
* Var with original data within SOEPlong: P4330
* SOEPcore: XP3904

#### 2008
* Var with original data within SOEPlong: P4330
* SOEPcore: YP3804

#### 2009
* Var with original data within SOEPlong: P4330
* SOEPcore: ZP3204

#### 2010
* Var with original data within SOEPlong: P4330
* SOEPcore: BAP3004

#### 2011
* Var with original data within SOEPlong: P4330
* SOEPcore: BBP3104

#### 2012
* Var with original data within SOEPlong: P4330
* SOEPcore: BCP3104
",0.34
"soep-long","PLB0404","PL","pfind01",4331,"","XP2201","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4331
* SOEPcore: TP4201

#### 2004
* Var with original data within SOEPlong: P4331
* SOEPcore: UP1701

#### 2005
* Var with original data within SOEPlong: P4331
* SOEPcore: VP1801

#### 2006
* Var with original data within SOEPlong: P4331
* SOEPcore: WP1501

#### 2007
* Var with original data within SOEPlong: P4331
* SOEPcore: XP2201
",0.17
"soep-long","PLB0407","PL","pfind02",4332,"","XP2204","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4332
* SOEPcore: TP4202

#### 2004
* Var with original data within SOEPlong: P4332
* SOEPcore: UP1702

#### 2005
* Var with original data within SOEPlong: P4332
* SOEPcore: VP1804

#### 2006
* Var with original data within SOEPlong: P4332
* SOEPcore: WP1504

#### 2007
* Var with original data within SOEPlong: P4332
* SOEPcore: XP2204
",0.17
"soep-long","PLB0408","PL","pfind03",4333,"","XP2205","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4333
* SOEPcore: TP4203

#### 2004
* Var with original data within SOEPlong: P4333
* SOEPcore: UP1703

#### 2005
* Var with original data within SOEPlong: P4333
* SOEPcore: VP1805

#### 2006
* Var with original data within SOEPlong: P4333
* SOEPcore: WP1505

#### 2007
* Var with original data within SOEPlong: P4333
* SOEPcore: XP2205
",0.17
"soep-long","PLB0411","PL","pfind04",4334,"","XP2208","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4334
* SOEPcore: TP4204

#### 2004
* Var with original data within SOEPlong: P4334
* SOEPcore: UP1704

#### 2005
* Var with original data within SOEPlong: P4334
* SOEPcore: VP1808

#### 2006
* Var with original data within SOEPlong: P4334
* SOEPcore: WP1508

#### 2007
* Var with original data within SOEPlong: P4334
* SOEPcore: XP2208
",0.17
"soep-long","PLB0412","PL","pfind05",4335,"","XP2209","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4335
* SOEPcore: TP4205

#### 2004
* Var with original data within SOEPlong: P4335
* SOEPcore: UP1705

#### 2005
* Var with original data within SOEPlong: P4335
* SOEPcore: VP1809

#### 2006
* Var with original data within SOEPlong: P4335
* SOEPcore: WP1509

#### 2007
* Var with original data within SOEPlong: P4335
* SOEPcore: XP2209
",0.17
"soep-long","PLB0401","PL","pfind06",4336,"","UP1706","UP",2004,"The variable is available for 2 years, ranging from 2003 to 2004.","#### 2003
* Var with original data within SOEPlong: P4336
* SOEPcore: TP4206

#### 2004
* Var with original data within SOEPlong: P4336
* SOEPcore: UP1706
",0.07
"soep-long","PLB0402","PL","pfind07",4337,"","UP1707","UP",2004,"The variable is available for 2 years, ranging from 2003 to 2004.","#### 2003
* Var with original data within SOEPlong: P4337
* SOEPcore: TP4207

#### 2004
* Var with original data within SOEPlong: P4337
* SOEPcore: UP1707
",0.07
"soep-long","PLB0403","PL","pfind08",4338,"","UP1708","UP",2004,"The variable is available for 2 years, ranging from 2003 to 2004.","#### 2003
* Var with original data within SOEPlong: P4338
* SOEPcore: TP4208

#### 2004
* Var with original data within SOEPlong: P4338
* SOEPcore: UP1708
",0.07
"soep-long","PLB0414","PL","pfind09",4339,"","XP2211","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4339
* SOEPcore: TP4209

#### 2004
* Var with original data within SOEPlong: P4339
* SOEPcore: UP1709

#### 2005
* Var with original data within SOEPlong: P4339
* SOEPcore: VP1811

#### 2006
* Var with original data within SOEPlong: P4339
* SOEPcore: WP1511

#### 2007
* Var with original data within SOEPlong: P4339
* SOEPcore: XP2211
",0.17
"soep-long","PLB0415","PL","pfind10",4340,"","XP2212","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4340
* SOEPcore: TP4210

#### 2004
* Var with original data within SOEPlong: P4340
* SOEPcore: UP1710

#### 2005
* Var with original data within SOEPlong: P4340
* SOEPcore: VP1812

#### 2006
* Var with original data within SOEPlong: P4340
* SOEPcore: WP1512

#### 2007
* Var with original data within SOEPlong: P4340
* SOEPcore: XP2212
",0.17
"soep-long","PLB0416","PL","pfindka",4341,"","XP2213","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4341
* SOEPcore: TP4211

#### 2004
* Var with original data within SOEPlong: P4341
* SOEPcore: UP1711

#### 2005
* Var with original data within SOEPlong: P4341
* SOEPcore: VP1813

#### 2006
* Var with original data within SOEPlong: P4341
* SOEPcore: WP1513

#### 2007
* Var with original data within SOEPlong: P4341
* SOEPcore: XP2213
",0.17
"soep-long","PLB0425","PL","pverm1",4342,"","BCP2001","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4342
* SOEPcore: TP4301

#### 2004
* Var with original data within SOEPlong: P4342
* SOEPcore: UP1801

#### 2005
* Var with original data within SOEPlong: P4342
* SOEPcore: VP1901

#### 2006
* Var with original data within SOEPlong: P4342
* SOEPcore: WP1601

#### 2007
* Var with original data within SOEPlong: P4342
* SOEPcore: XP2301

#### 2008
* Var with original data within SOEPlong: P4342
* SOEPcore: YP2801

#### 2009
* Var with original data within SOEPlong: P4342
* SOEPcore: ZP1801

#### 2010
* Var with original data within SOEPlong: P4342
* SOEPcore: BAP1801

#### 2011
* Var with original data within SOEPlong: P4342
* SOEPcore: BBP1801

#### 2012
* Var with original data within SOEPlong: P4342
* SOEPcore: BCP2001
",0.34
"soep-long","PLB0283","PL","pverm2",4343,"","BCP2002","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4343
* SOEPcore: TP4302

#### 2004
* Var with original data within SOEPlong: P4343
* SOEPcore: UP1802

#### 2005
* Var with original data within SOEPlong: P4343
* SOEPcore: VP1902

#### 2006
* Var with original data within SOEPlong: P4343
* SOEPcore: WP1602

#### 2007
* Var with original data within SOEPlong: P4343
* SOEPcore: XP2302

#### 2008
* Var with original data within SOEPlong: P4343
* SOEPcore: YP2802

#### 2009
* Var with original data within SOEPlong: P4343
* SOEPcore: ZP1802

#### 2010
* Var with original data within SOEPlong: P4343
* SOEPcore: BAP1802

#### 2011
* Var with original data within SOEPlong: P4343
* SOEPcore: BBP1802

#### 2012
* Var with original data within SOEPlong: P4343
* SOEPcore: BCP2002
",0.34
"soep-long","PLB0297","PL","pverm3",4344,"","BCP2701","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4344
* SOEPcore: TP5501

#### 2004
* Var with original data within SOEPlong: P4344
* SOEPcore: UP2601

#### 2005
* Var with original data within SOEPlong: P4344
* SOEPcore: VP3101

#### 2006
* Var with original data within SOEPlong: P4344
* SOEPcore: WP2401

#### 2007
* Var with original data within SOEPlong: P4344
* SOEPcore: XP3501

#### 2008
* Var with original data within SOEPlong: P4344
* SOEPcore: YP3401

#### 2009
* Var with original data within SOEPlong: P4344
* SOEPcore: ZP2801

#### 2010
* Var with original data within SOEPlong: P4344
* SOEPcore: BAP2601

#### 2011
* Var with original data within SOEPlong: P4344
* SOEPcore: BBP2701

#### 2012
* Var with original data within SOEPlong: P4344
* SOEPcore: BCP2701
",0.34
"soep-long","PLB0430","PL","pverm4",4345,"","BCP2702","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4345
* SOEPcore: TP5502

#### 2004
* Var with original data within SOEPlong: P4345
* SOEPcore: UP2602

#### 2005
* Var with original data within SOEPlong: P4345
* SOEPcore: VP3102

#### 2006
* Var with original data within SOEPlong: P4345
* SOEPcore: WP2402

#### 2007
* Var with original data within SOEPlong: P4345
* SOEPcore: XP3502

#### 2008
* Var with original data within SOEPlong: P4345
* SOEPcore: YP3402

#### 2009
* Var with original data within SOEPlong: P4345
* SOEPcore: ZP2802

#### 2010
* Var with original data within SOEPlong: P4345
* SOEPcore: BAP2602

#### 2011
* Var with original data within SOEPlong: P4345
* SOEPcore: BBP2702

#### 2012
* Var with original data within SOEPlong: P4345
* SOEPcore: BCP2702
",0.34
"soep-long","PLB0386","PL","pjobka1",4346,"","XP7605","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4346
* SOEPcore: TP7905

#### 2004
* Var with original data within SOEPlong: P4346
* SOEPcore: UP6205

#### 2005
* Var with original data within SOEPlong: P4346
* SOEPcore: VP7405

#### 2006
* Var with original data within SOEPlong: P4346
* SOEPcore: WP6505

#### 2007
* Var with original data within SOEPlong: P4346
* SOEPcore: XP7605
",0.17
"soep-long","PLB0391","PL","pjobka2",4347,"","XP7705","XP",2007,"The variable is available for 5 years, ranging from 2003 to 2007.","#### 2003
* Var with original data within SOEPlong: P4347
* SOEPcore: TP8005

#### 2004
* Var with original data within SOEPlong: P4347
* SOEPcore: UP6305

#### 2005
* Var with original data within SOEPlong: P4347
* SOEPcore: VP7505

#### 2006
* Var with original data within SOEPlong: P4347
* SOEPcore: WP6605

#### 2007
* Var with original data within SOEPlong: P4347
* SOEPcore: XP7705
",0.17
"soep-long","PLB0152","PL","pawegka",4348,"","TP3003","TP",2003,"This variable is only available for the year 2003.","#### 2003
* Var with original data within SOEPlong: P4348
* SOEPcore: TP3003
",0.03
"soep-long","PLB0177","PL","plb0177",4349,"","GP3502E","GPOST",1990,"This variable is only available for the year 1990.","#### 1990
* Var with original data within SOEPlong: P4349
* SOEPcore: GP3502E NOT!_P43491990 
",0.03
"soep-long","PLC0242","PL","par7",4352,"","BCP8309","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4352
* SOEPcore: TP9713

#### 2004
* Var with original data within SOEPlong: P4352
* SOEPcore: UP8213

#### 2005
* Var with original data within SOEPlong: P4352
* SOEPcore: VP10313

#### 2006
* Var with original data within SOEPlong: P4352
* SOEPcore: WP8013

#### 2007
* Var with original data within SOEPlong: P4352
* SOEPcore: XP9713

#### 2008
* Var with original data within SOEPlong: P4352
* SOEPcore: YP9813

#### 2009
* Var with original data within SOEPlong: P4352
* SOEPcore: ZP9409

#### 2010
* Var with original data within SOEPlong: P4352
* SOEPcore: BAP8609

#### 2011
* Var with original data within SOEPlong: P4352
* SOEPcore: BBP9609

#### 2012
* Var with original data within SOEPlong: P4352
* SOEPcore: BCP8309
",0.34
"soep-long","PLC0285","PL","pwr7",4353,"","BCP8310","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4353
* SOEPcore: TP9714

#### 2004
* Var with original data within SOEPlong: P4353
* SOEPcore: UP8214

#### 2005
* Var with original data within SOEPlong: P4353
* SOEPcore: VP10314

#### 2006
* Var with original data within SOEPlong: P4353
* SOEPcore: WP8014

#### 2007
* Var with original data within SOEPlong: P4353
* SOEPcore: XP9714

#### 2008
* Var with original data within SOEPlong: P4353
* SOEPcore: YP9814

#### 2009
* Var with original data within SOEPlong: P4353
* SOEPcore: ZP9410

#### 2010
* Var with original data within SOEPlong: P4353
* SOEPcore: BAP8610

#### 2011
* Var with original data within SOEPlong: P4353
* SOEPcore: BBP9610

#### 2012
* Var with original data within SOEPlong: P4353
* SOEPcore: BCP8310
",0.34
"soep-long","PLC0251","PL","parka",4354,"","BCP8319","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4354
* SOEPcore: TP9719

#### 2004
* Var with original data within SOEPlong: P4354
* SOEPcore: UP8219

#### 2005
* Var with original data within SOEPlong: P4354
* SOEPcore: VP10319

#### 2006
* Var with original data within SOEPlong: P4354
* SOEPcore: WP8019

#### 2007
* Var with original data within SOEPlong: P4354
* SOEPcore: XP9719

#### 2008
* Var with original data within SOEPlong: P4354
* SOEPcore: YP9819

#### 2009
* Var with original data within SOEPlong: P4354
* SOEPcore: ZP9419

#### 2010
* Var with original data within SOEPlong: P4354
* SOEPcore: BAP8619

#### 2011
* Var with original data within SOEPlong: P4354
* SOEPcore: BBP9619

#### 2012
* Var with original data within SOEPlong: P4354
* SOEPcore: BCP8319
",0.34
"soep-long","PLC0290","PL","pwrka",4355,"","BCP8320","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4355
* SOEPcore: TP9720

#### 2004
* Var with original data within SOEPlong: P4355
* SOEPcore: UP8220

#### 2005
* Var with original data within SOEPlong: P4355
* SOEPcore: VP10320

#### 2006
* Var with original data within SOEPlong: P4355
* SOEPcore: WP8020

#### 2007
* Var with original data within SOEPlong: P4355
* SOEPcore: XP9720

#### 2008
* Var with original data within SOEPlong: P4355
* SOEPcore: YP9820

#### 2009
* Var with original data within SOEPlong: P4355
* SOEPcore: ZP9420

#### 2010
* Var with original data within SOEPlong: P4355
* SOEPcore: BAP8620

#### 2011
* Var with original data within SOEPlong: P4355
* SOEPcore: BBP9620

#### 2012
* Var with original data within SOEPlong: P4355
* SOEPcore: BCP8320
",0.34
"soep-long","PLG0030","PL","pauska",4444,"","BCP1008","BCP",2012,"The variable is available for 10 years, ranging from 2003 to 2012.","#### 2003
* Var with original data within SOEPlong: P4444
* SOEPcore: TP3305

#### 2004
* Var with original data within SOEPlong: P4444
* SOEPcore: UP0805

#### 2005
* Var with original data within SOEPlong: P4444
* SOEPcore: VP0905

#### 2006
* Var with original data within SOEPlong: P4444
* SOEPcore: WP0605

#### 2007
* Var with original data within SOEPlong: P4444
* SOEPcore: XP1206

#### 2008
* Var with original data within SOEPlong: P4444
* SOEPcore: YP1706

#### 2009
* Var with original data within SOEPlong: P4444
* SOEPcore: ZP0806

#### 2010
* Var with original data within SOEPlong: P4444
* SOEPcore: BAP0806

#### 2011
* Var with original data within SOEPlong: P4444
* SOEPcore: BBP0806

#### 2012
* Var with original data within SOEPlong: P4444
* SOEPcore: BCP1008
",0.34
"soep-long","PLG0083","PL","pabka2",4445,"","BCP7207","BCP",2012,,"#### 2003
* Var with original data within SOEPlong: P4445
* SOEPcore: TP8608

#### 2004
* Var with original data within SOEPlong: P4445
* SOEPcore: UP7108

#### 2005
* Var with original data within SOEPlong: P4445
* SOEPcore: VP9207

#### 2006
* Var with original data within SOEPlong: P4445
* SOEPcore: WP7507

#### 2007
* Var with original data within SOEPlong: P4445
* SOEPcore: XP8607

#### 2008
* Var with original data within SOEPlong: P4445
* SOEPcore: YP8707

#### 2009
* Var with original data within SOEPlong: P4445
* SOEPcore: ZP8307

#### 2010
* Var with original data within SOEPlong: P4445
* SOEPcore: BAP7407

#### 2011
* Var with original data within SOEPlong: P4445
* SOEPcore: BBP8407

#### 2012
* Var with original data within SOEPlong: P4445
* SOEPcore: BCP7207
",0.03
